tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***75982,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1543,OPP,117 PETER ST,,,ON
***14671,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1543,NR,2230 QUEEN ST E,,,ON
***18800,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1543,NR,12 PUMFREY CRES,,,ON
***45921,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1544,NR,2 BLYTHWOOD GDNS,,,ON
***11041,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1544,NR,9 PEMBROKE ST,,,ON
***29676,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1545,,939 LAWRENCE AVE E,,,ON
***45922,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1545,NR,2 BLYTHWOOD GDNS,,,ON
***54479,20120102,48,FAIL TO PARK/STOP PARA TO CURB,15,1545,NR,76 GRENVILLE ST,,,ON
***11042,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1545,NR,226 GEORGE ST,,,ON
***75983,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1546,OPP,70 PETER ST,,,ON
***13954,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1546,NR,353 BROADVIEW AVE,,,ON
***45923,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1546,NR,2 BLYTHWOOD GDNS,,,ON
***45924,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1546,OPP,2 BLYTHWOOD GDNS,,,ON
***65101,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1547,NR,253 DANFORTH AVE,,,ON
***11043,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1547,NR,270 GEORGE ST,,,NY
***14672,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1549,NR,28 HAMMERSMITH AVE,,,ON
***54480,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1549,OPP,95 WALTON ST,,,ON
***90513,20120102,367,STAND ON-ST DISABL LDG NO PRMT,450,1549,NR,25 BRUCEWOOD CRES,,,ON
***29677,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1550,,939 LAWRENCE AVE E,,,ON
***54481,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1550,OPP,95 WALTON ST,,,ON
***29678,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1552,,939 LAWRENCE AVE E,,,ON
***14673,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1553,NR,2211 QUEEN ST E,,,ON
***29679,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1554,,939 LAWRENCE AVE E,,,ON
***98076,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1554,NR,244 VICTORIA ST,,,ON
***98077,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1554,NR,244 VICTORIA ST,,,ON
***11386,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1554,NR,218 KING ST E,,,ON
***22695,20120102,5,PARK HWY PRO TIMES/DAYS,40,1555,NR,17 VALPARAISO AVE,,,ON
***32722,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1555,NR,332 PACIFIC AVE,,,ON
***54482,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1555,NR,164 ELIZABETH ST,,,ON
***98078,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1555,NR,244 VICTORIA ST,,,CT
***27277,20120102,15,PARK 3M OF FIRE HYDRANT,100,1556,AT,26 BRAEMAR AVE,,,ON
***14674,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1556,OPP,2050 QUEEN ST E,,,ON
***14675,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1556,NR,2034 QUEEN ST E,,,ON
***89139,20120102,355,PARK IN DISABLED NO PERMIT,450,1556,NR,850 ELLESMERE RD,,,ON
***96777,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1556,NR,33 ORCHARD VIEW BLVD,,,ON
***05272,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1556,NR,133 MONARCH PARK AVE,,,ON
***11387,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1556,W/S,FREDERICK ST,S/O,ADELAIDE ST E,ON
***90514,20120102,15,PARK 3M OF FIRE HYDRANT,100,1558,NR,314 BROOKE AVE,,,ON
***75984,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1559,NR,362 SPADINA AVE,,,ON
***44987,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1559,OPP,350 WELLINGTON ST W,,,ON
***29680,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1600,,939 LAWRENCE AVE E,,,ON
***22696,20120102,5,PARK HWY PRO TIMES/DAYS,40,1600,NR,25 GREENBRAE CRCT,,,ON
***04624,20120102,15,PARK 3M OF FIRE HYDRANT,100,1600,NR,449 CONCORD AVE,,,NB
***05273,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1600,NR,1050 DANFORTH RD,,,ON
***41191,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1601,NR,25 BISHOP TUTU BLVD,,,ON
***82992,20120102,15,PARK 3M OF FIRE HYDRANT,100,1601,N/S,DERRYDOWN RD,E/O,SENTINEL RD,ON
***41192,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1602,NR,25 BISHOP TUTU BLVD,,,ON
***13955,20120102,15,PARK 3M OF FIRE HYDRANT,100,1602,NR,263 BOOTH AVE,,,ON
***29681,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1603,,939 LAWRENCE AVE E,,,ON
***41193,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1604,NR,46 BISHOP TUTU BLVD,,,ON
***65900,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1604,NR,1634 BAYVIEW AVE,,,ON
***54483,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1605,NR,1 JAMES ST,,,ON
***65102,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1605,NR,145 SIMPSON AVE,,,ON
***54484,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1606,NR,1 JAMES ST,,,ON
***54485,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1607,NR,2 JAMES ST,,,WI
***13649,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1609,AT,35 FINCH AVE E,,,ON
***22697,20120102,347,PARK IN A FIRE ROUTE,250,1609,AT,695 MARKHAM RD,,,ON
***65103,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1609,NR,18 SIMPSON AVE,,,ON
***96778,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1609,NR,4 MAYFAIR AVE,,,ON
***11044,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1609,NR,52 ST LAWRENCE ST,,,ON
***44988,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1610,NR,469 DUNDAS ST W,,,ON
***54486,20120102,25,STAND SIGNED TAXICAB STAND,30,1610,NR,2 ALBERT ST,,,ON
***54487,20120102,25,STAND SIGNED TAXICAB STAND,30,1610,NR,2 ALBERT ST,,,ON
***63911,20120102,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,1610,OPP,52 CARR ST,,,ON
***98079,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1610,NR,64 QUEEN ST E,,,ON
***18801,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1612,NR,435 SILVERSTONE DR,,,ON
***87858,20120102,9,STOP HWY PROHIBITED TIMES/DAYS,60,1612,OPP,359 ROYAL YORK RD,,,ON
***96779,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1612,NR,11 SHALLMAR BLVD,,,ON
***11045,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1612,NR,117 TRINITY ST,,,CA
***41194,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1613,NR,12 SUDBURY ST,,,ON
***98080,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1613,OPP,76 SHUTER ST,,,ON
***14676,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1614,OPP,959 KINGSTON RD,,,ON
***27353,20120102,16,PARK 9M OF INTERSCTING HIGHWAY,40,1615,NR,2 CRAIGHURST AVE,,,ON
***55441,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1615,,300 BOROUGH DR,,,ON
***13650,20120102,15,PARK 3M OF FIRE HYDRANT,100,1615,NR,1 DUPLEX AVE,,,ON
***63912,20120102,15,PARK 3M OF FIRE HYDRANT,100,1615,NR,57 RYERSON AVE,,,ON
***66986,20120102,15,PARK - 3M OF FIRE HYDRANT,100,1615,NR,186 SPADINA AVE,,,ON
***54488,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1616,NR,20 EDWARD ST,,,ON
***11046,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1616,OPP,80 MILL ST,,,NS
***54489,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1617,NR,20 EDWARD ST,,,ON
***54490,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1618,NR,20 EDWARD ST,,,ON
***90515,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1618,S/S,RANLEIGH AVE,E/O,YONGE ST,ON
***54491,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1619,NR,20 EDWARD ST,,,ON
***54492,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1620,NR,20 EDWARD ST,,,ON
***54493,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1620,NR,20 EDWARD ST,,,ON
***98485,20120102,58,STOP - WITHIN 9.0M OF XWALK,60,1620,NR,1279 DAVENPORT RD,,,ON
***07700,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1621,,7 HART HOUSE CIR,,,ON
***96508,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1621,OPP,130 SHANLY ST,,,ON
***32723,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1621,NR,2975 DUNDAS ST W,,,ON
***47682,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1621,NR,84 MERRICK ST,,,ON
***54494,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1621,NR,20 EDWARD ST,,,ON
***66987,20120102,15,PARK 3M OF FIRE HYDRANT,100,1621,NR,315 QUEEN ST W,,,ON
***14677,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1622,OPP,2 LAWLOR AVE,,,ON
***44989,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1622,N/S,SULTAN ST,W/O,ST THOMAS ST,TN
***90516,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1622,NR,8 WANLESS AVE,,,ON
***98486,20120102,363,PARK ON-STRT DISABLD NO PERMIT,450,1622,E/S,SALEM AVE,S/O,DAVENPORT RD,ON
***96509,20120102,337,PARK - ON BOULEVARD,50,1624,AT,41 SHANLY ST,,,ON
***32724,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1624,NR,228 MEDLAND ST,,,QC
***87859,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1625,NR,250 NINTH ST,,,ON
***90517,20120102,15,PARK 3M OF FIRE HYDRANT,100,1625,OPP,1 BROOKDALE AVE,,,ON
***11388,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1625,NR,278a QUEEN ST W,,,ON
***75985,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1626,NR,362 SPADINA AVE,,,ON
***54495,20120102,58,STOP - WITHIN 9.0M OF XWALK,60,1626,NR,201 ELIZABETH ST,,,ON
***64397,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1626,NR,1798 WESTON RD,,,ON
***04625,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1626,NR,45 CLINTON ST,,,ON
***13956,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1627,NR,1392 GERRARD ST E,,,QC
***89140,20120102,5,PARK HWY PRO TIMES/DAYS,40,1627,NR,4 ZENITH DR,,,ON
***87860,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1628,NR,250 TWELFTH ST,,,ON
***90518,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1628,NR,16 GOLFDALE RD,,,ON
***87861,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1629,NR,250 TWELFTH ST,,,QC
***34753,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1630,,300 BOROUGH DR,,,ON
***13651,20120102,9,STOP HWY PROHIB TIME/DAY,60,1630,NR,180 BEECROFT RD,,,ON
***22698,20120102,347,PARK IN A FIRE ROUTE,250,1630,AT,371 ORTON PARK RD,,,ON
***44990,20120102,8,STAND VEH-HWY-PROH TIME/DAYS,60,1630,OPP,210 BLOOR ST W,,,ON
***63913,20120102,192,STAND SIGNED TRANSIT STOP,60,1630,NR,718 QUEEN ST W,,,ON
***89141,20120102,347,PARK IN A FIRE ROUTE,250,1630,NR,462 BIRCHMOUNT RD,,,ON
***96510,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1631,OPP,52 LENNOX ST,,,ON
***04626,20120102,363,PARK ON-STRT DISABLD NO PERMIT,450,1631,NR,312 CLINTON ST,,,ON
***96511,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1632,OPP,52 LENNOX ST,,,ON
***96512,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1632,OPP,52 LENNOX ST,,,ON
***14678,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1632,NR,2034 QUEEN ST E,,,ON
***64398,20120102,15,PARK-3M OF FIRE HYDRANT,100,1632,NR,54 SIDNEY BELSEY CRES,,,ON
***87862,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1632,NR,2865 LAKE SHORE BLVD W,,,ON
***96513,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1633,OPP,34 LENNOX ST,,,ON
***13652,20120102,9,STOP HWY PROHIB TIME/DAY,60,1634,OPP,30 GREENFIELD AVE,,,ON
***96514,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1634,OPP,34 LENNOX ST,,,ON
***54496,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1634,OPP,20 MURRAY ST,,,ON
***65901,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1634,NR,136 CUMBERLAND ST,,,ON
***96780,20120102,192,STAND SIGNED TRANSIT STOP,60,1634,NR,2616 YONGE ST,,,ON
***98487,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1634,NR,533 ST CLAIR AVE W,,,ON
***98488,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1635,NR,533 ST CLAIR AVE W,,,ON
***98489,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1635,NR,533 ST CLAIR AVE W,,,ON
***04627,20120102,25,PARK-SIGNED TAXICAB STAND,30,1635,NR,876 BLOOR ST W,,,ON
***98490,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1636,NR,533 ST CLAIR AVE W,,,ON
***87863,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1637,OPP,5 ROYAL YORK RD,,,ON
***33178,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1638,,1800 SHEPPARD AVE E,,,ON
***87864,20120102,5,PARK HWY PROHIBITED TIMES/DAYS,40,1638,OPP,5 ROYAL YORK RD,,,ON
***14679,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1639,NR,101 KENILWORTH AVE,,,ON
***05274,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1639,NR,66 AMSTERDAM AVE,,,ON
***75986,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1640,OPP,35 BALMUTO ST,,,ON
***14680,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1640,NR,1957 QUEEN ST E,,,ON
***64399,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1641,AT,75 EMMETT AVE,,,ON
***90519,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1641,NR,8 WANLESS AVE,,,ON
***96781,20120102,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,1641,NR,100 CRAIGHURST AVE,,,ON
***29683,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1642,,939 LAWRENCE AVE E,,,ON
***96515,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1642,NR,176 DALTON RD,,,QC
***14681,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1643,NR,170 WAVERLEY RD,,,ON
***34754,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1644,,300 BOROUGH DR,,,ON
***96516,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1644,NR,31 DALTON RD,,,ON
***47683,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1644,NR,125 GRENADIER RD,,,ON
***90520,20120102,8,STAND VEH-HWY-PROH TIME/DAYS,60,1644,NR,3320 YONGE ST,,,ON
***47684,20120102,77,PARK 60CM OF DRIVEWAY/LANEWAY,40,1645,NR,125 GRENADIER RD,,,IN
***65104,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1646,NR,174 HAMPTON AVE,,,ON
***82993,20120102,5,PARK-HWY PROHIB TIMES/DAYS,40,1646,NR,78 JOHN ST,,,ON
***05275,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1646,NR,133 MONARCH PARK AVE,,,ON
***96782,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1647,NR,40 ORCHARD VIEW BLVD,,,ON
***44991,20120102,16,PARK 9M OF INTERSCTING HIGHWAY,40,1648,E/S,MC CAUL ST,N/O,RENFREW PL,ON
***04628,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1648,NR,337 MARGUERETTA ST,,,AZ
***64400,20120102,347,PARK IN A FIRE ROUTE,250,1649,AT,25 PHOTOGRAPHY DR,,,ON
***90521,20120102,5,PARK HWY AT PROHIB TIME/DAY,40,1649,NR,361 FAIRLAWN AVE,,,ON
***96783,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1649,NR,33 ORCHARD VIEW BLVD,,,ON
***42486,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1650,AT,4 AVONDALE AVE,,,ON
***44992,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1650,NR,22 MC CAUL ST,,,ON
***04629,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1650,NR,271 MARGUERETTA ST,,,ON
***14682,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1652,NR,995 KINGSTON RD,,,ON
***22699,20120102,5,PARK HWY PRO TIMES/DAYS,40,1652,NR,222 GALLOWAY RD,,,ON
***82994,20120102,15,PARK 3M OF FIRE HYDRANT,100,1652,NR,139 WOODWARD AVE,,,ON
***45925,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1653,NR,6 BLYTHWOOD GDNS,,,ON
***54497,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1653,OPP,95 WALTON ST,,,ON
***04630,20120102,15,PARK 3M OF FIRE HYDRANT,100,1653,NR,364 BROCK AVE,,,ON
***32417,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1654,AT,228 SPADINA AVE,,,ON
***11047,20120102,15,PARK 3M OF FIRE HYDRANT,100,1654,NR,160 FREDERICK ST,,,ON
***32725,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1655,N/S,HUMBERSIDE AVE,W/O,KEELE ST,ON
***89142,20120102,5,PARK HWY PRO TIMES/DAYS,40,1655,NR,10 TEESDALE PL,,,ON
***96517,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1657,NR,43 WALES AVE,,,ON
***22700,20120102,337,PARK - ON BOULEVARD,50,1657,NR,22 CORONATION DR,,,ON
***96518,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1659,NR,51 WALES AVE,,,ON
***18802,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1659,AT,700 HUMBERWOOD BLVD,,,ON
***11048,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1659,NR,313 RICHMOND ST E,,,MI
***42487,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1700,AT,1 AVONDALE AVE,,,ON
***63914,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1700,OPP,52 LENNOX ST,,,ON
***13957,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1701,NR,84 SAULTER ST,,,ON
***04631,20120102,363,PARK ON-STRT DISABLD NO PERMIT,450,1701,NR,1 LINDSEY AVE,,,ON
***90522,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1702,NR,18 TEDDINGTON PARK AVE,,,ON
***14683,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1703,OPP,2 LAWLOR AVE,,,ON
***04632,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1703,NR,361 GLADSTONE AVE,,,ON
***90523,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1704,NR,6 GLEN ECHO RD,,,ON
***11049,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1706,OPP,135 GEORGE ST S,,,ON
***14684,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1708,OPP,85 BEECH AVE,,,ON
***44993,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1708,E/S,JAMES ST,S/O,ALBERT ST,CA
***45926,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1708,OPP,47 TULLIS DR,,,ON
***89143,20120102,347,PARK IN A FIRE ROUTE,250,1708,NR,2453 KINGSTON RD,,,ON
***14685,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1709,NR,81 BEECH AVE,,,ON
***90524,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1710,NR,3213 YONGE ST,,,ON
***44994,20120102,25,STAND SIGNED TAXICAB STAND,30,1711,N/S,ALBERT ST,W/O,JAMES ST,ON
***89144,20120102,347,PARK IN A FIRE ROUTE,250,1711,NR,2483 KINGSTON RD,,,ON
***04633,20120102,58,STOP - WITHIN 9.0M OF XWALK,60,1712,NR,912 OSSINGTON AVE,,,ON
***96519,20120102,134,PARK IN PUBLIC LANE,30,1714,S/S,67 PORTLAND ST,,,ON
***63915,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1715,NR,57 WALES AVE,,,ON
***96784,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1715,NR,10 EDMUND AVE,,,ON
***18803,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1716,AT,700 HUMBERWOOD BLVD,,,ON
***32646,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1717,NR,1380 DON MILLS RD,,,ON
***96520,20120102,337,PARK - ON BOULEVARD,50,1717,AT,577 WELLINGTON ST W,,,ON
***87865,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1717,AT,2301 LAKE SHORE BLVD W,,,ON
***98081,20120102,384,STOP VEH OTR THN BCYCL-BYCL LN,60,1717,NR,500 SHERBOURNE ST,,,QC
***96521,20120102,337,PARK - ON BOULEVARD,50,1718,AT,577 WELLINGTON ST W,,,ON
***82995,20120102,5,PARK HWY AT PROHIB TIME/DAY,40,1718,NR,27 SEELEY DR,,,ON
***32647,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1719,AT,1380 DON MILLS RD,,,ON
***32648,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1719,AT,1380 DON MILLS RD,,,ON
***96522,20120102,337,PARK - ON BOULEVARD,50,1719,AT,577 WELLINGTON ST W,,,ON
***82996,20120102,5,PARK HWY AT PROHIB TIME/DAY,40,1719,NR,27 SEELEY DR,,,ON
***04634,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,1719,NR,21 DELAWARE AVE,,,ON
***32649,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1720,AT,1380 DON MILLS RD,,,ON
***32650,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1720,AT,1380 DON MILLS RD,,,ON
***90114,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1720,NR,138 BRAEMAR AVE,,,ON
***75987,20120102,192,STAND SIGNED TRANSIT STOP,60,1721,S/S,BREMNER BLVD,E/O,SPADINA AVE,ON
***13958,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1721,NR,5 COADY AVE,,,AZ
***32651,20120102,355,PARK IN DISABLED NO PERMIT,450,1722,AT,1380 DON MILLS RD,,,ON
***82997,20120102,5,PARK HWY AT PROHIB TIME/DAY,40,1722,NR,25 SEELEY DR,,,ON
***32652,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1723,AT,1380 DON MILLS RD,,,ON
***63916,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1723,NR,2 AUGUSTA AVE,,,ON
***90525,20120102,9,STOP HWY PROHIB TIME/DAY,60,1723,NR,23 SULTANA AVE,,,ON
***96785,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1723,NR,44 JACKES AVE,,,ON
***22701,20120102,347,PARK IN A FIRE ROUTE,250,1725,AT,225 SCARBOROUGH GOLF CLUB RD,,,ON
***65105,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1725,NR,137 SIMPSON AVE,,,ON
***22702,20120102,347,PARK IN A FIRE ROUTE,250,1726,AT,225 SCARBOROUGH GOLF CLUB RD,,,QC
***96786,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1726,NR,44 JACKES AVE,,,QC
***32653,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1727,AT,1380 DON MILLS RD,,,ON
***96787,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1727,NR,44 JACKES AVE,,,ON
***96523,20120102,8,STD VEH HWY PROHIB TIME/DAY,60,1728,NR,2 STADIUM RD,,,QC
***22703,20120102,347,PARK IN A FIRE ROUTE,250,1728,AT,225 SCARBOROUGH GOLF CLUB RD,,,ON
***90526,20120102,15,PARK 3M OF FIRE HYDRANT,100,1728,NR,240 CARMICHAEL AVE,,,ON
***14686,20120102,9,STOP HWY PROHIBITED TIME/DAY,60,1729,OPP,1392 GERRARD ST E,,,QC
***65106,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1729,NR,18 SIMPSON AVE,,,ON
***75988,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1730,NR,125 BREMNER BLVD,,,ON
***13653,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1731,AT,4978 YONGE ST,,,ON
***45927,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1732,NR,2 BLYTHWOOD GDNS,,,ON
***64401,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1734,NR,444 ROGERS RD,,,ON
***11050,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,1734,NR,97 PEMBROKE ST,,,ON
***27658,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1736,,2180 ELLESMERE RD,,,ON
***82998,20120102,15,PARK 3M OF FIRE HYDRANT,100,1737,NR,12 SAYWELL AVE,,,ON
***32654,20120102,5,PARK SIGNED HWY PRO TIMES/DAYS,40,1738,NR,44 THORNCLIFFE PARK DR,,,ON
***44995,20120102,367,STAND ON-ST DISABL LDG NO PRMT,450,1738,W/S,JAMES ST,S/O,ALBERT ST,ON
***65902,20120102,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,1738,NR,132 AVENUE RD,,,ON
***32655,20120102,5,PARK SIGNED HWY PRO TIMES/DAYS,40,1739,NR,42 THORNCLIFFE PARK DR,,,ON
***27145,20120102,5,PARK HWY PROHIBED TIME/DAY,40,1740,AT,70 YORKVILLE AVE,,,ON
